Date,Consumer,Manuf,HiTec,Hlth,btc,eth
2018-04-27,13197.568511775356,9519.935175579289,10767.42632199664,25640.29084006166,8987.0498046875,647.031982421875
2018-04-30,13090.668206829976,9403.79196643722,10710.358962490058,25242.866332040707,9240.5498046875,669.9240112304688
2018-05-01,12971.543126147822,9376.520969734553,10838.883270039938,25305.973497870807,9119.009765625,673.6129760742188
2018-05-02,12756.215510253767,9299.63349778273,10828.044386769898,24997.240621196783,9235.919921875,687.1489868164062
2018-05-03,12739.63243009044,9307.073204580956,10854.031693298146,24859.755797780203,9743.8603515625,779.5430297851562
2018-05-04,12902.699725195596,9439.233644086004,11055.916682793491,25088.46555111978,9700.759765625,785.6240234375
2018-05-07,12900.119185250558,9494.925122586112,11154.314341270352,25103.518630450453,9373.009765625,753.7249755859375
2018-05-08,12851.098732346603,9515.8139578558,11190.008147162418,24960.428574256886,9234.8203125,752.8569946289062
2018-05-09,12878.086039684533,9602.40786487229,11344.43025959326,25207.53681714203,9325.1796875,752.2750244140625
2018-05-10,12964.36921615042,9660.022312061525,11470.353435474746,25414.238619042593,9043.9404296875,727.2769775390625
2018-05-11,12918.993923893891,9662.92031875514,11442.824587229608,25800.53504605204,8441.490234375,679.5859985351562
2018-05-14,12886.69643908416,9667.75177891452,11429.093197724933,25926.957667777693,8716.7900390625,730.5490112304688
2018-05-15,12849.325019410817,9628.113996620968,11318.230993707,25685.83696146736,8510.3798828125,708.8709716796875
2018-05-16,12921.281239519516,9693.58517179799,11371.42667937742,25847.657734324606,8368.830078125,707.0499877929688
2018-05-17,12974.258492601546,9735.26758803672,11330.48954333166,25819.225310816848,8094.31982421875,672.656982421875
2018-05-18,12919.76660693262,9755.711649971598,11307.828564244996,25899.264909280384,8250.9697265625,694.3670043945312
2018-05-21,12952.066023449952,9877.65804559624,11397.160409902534,25837.10667349811,8418.990234375,699.2219848632812
2018-05-22,12911.914618777257,9783.820294163075,11350.432052221931,25775.097617481715,8041.77978515625,647.7410278320312
2018-05-23,13007.46278695621,9804.36631678082,11441.23550863971,25919.438164139618,7557.81982421875,583.5850219726562
2018-05-24,13019.169503464467,9805.346753412496,11433.22664378366,25846.863737280026,7587.33984375,601.7550048828125
2018-05-25,13023.075254315509,9790.63873328238,11430.939998454904,25818.432187169015,7480.14013671875,586.7340087890625
