Date,Consumer,Manuf,HiTec,Hlth
2020-08-03,14602.325167333729,10295.453923291261,18452.819805601244,34502.66935634179
2020-08-04,14689.939118337732,10369.581191538959,18460.200933523483,34378.459746658955
2020-08-05,14744.291893075582,10545.86407179512,18517.42755641741,34464.4058960256
2020-08-06,14710.380021721508,10505.789788322298,18784.07851322982,34247.28013888064
2020-08-07,14805.997491862698,10609.797107226688,18539.88549255783,34315.7746991584
2020-08-10,14869.663281077706,10814.566191396165,18443.47808799653,34123.60636084311
2020-08-11,14841.410920843658,10826.462214206702,18105.962438986193,33744.83433023775
2020-08-12,15012.087146433361,10907.660680813253,18493.4300351805,34240.88339489224
2020-08-13,15007.583520289432,10870.57463449849,18565.554412317702,34278.54836662662
2020-08-14,14994.076695121172,10892.315783767486,18513.570859963213,34127.72275381347
2020-08-17,15030.062479189462,10858.549604837806,18633.909070552974,34571.38314961304
2020-08-18,15073.649660379111,10823.802246102325,18762.48304313979,34554.09745803823
2020-08-19,14974.163572620608,10795.660360262458,18709.948090618997,34388.23779023965
2020-08-20,14951.702327261677,10728.72726602883,18964.403384651418,34377.921318902576
2020-08-21,14932.265114236237,10740.528866021463,19118.015052067094,34305.72768413288
2020-08-24,15135.343919789851,10931.710279836645,19238.458546895115,34113.61560910173
2020-08-25,15109.613835126209,10898.915148997135,19378.89929428745,34396.75861865727
2020-08-26,15167.030367699688,10906.544389601433,19849.806547138636,34334.84445314369
2020-08-27,15218.598270949868,10896.728499650791,19756.512456367083,34537.42003541724
2020-08-28,15372.306113486462,10994.799056147647,19914.56455601802,34571.957455452655
2020-08-31,15293.90735230768,10868.358867001949,20006.171552975702,34786.303591676464
2020-09-01,15275.55466348491,11010.734368159676,20438.30485851998,34347.99616642134
2020-09-02,15636.057753543155,11225.44368833879,20661.082381477845,34973.12969665021
2020-09-03,15346.790685102607,10902.150910114633,19475.136252781016,33920.43849278104
2020-09-04,15329.909215348995,10903.241125205644,19144.05893648374,33696.56359872868
2020-09-08,15027.910003806619,10672.092413351285,18347.666084726017,33143.93995570953
2020-09-09,15190.211431847729,10849.249147412916,18879.74840118307,33800.18996683258
2020-09-10,15061.094634677023,10725.56770713241,18509.705332519883,33262.76694635994
2020-09-11,15148.44898355815,10851.05684930586,18396.79612999151,33379.1866306722
2020-09-14,15281.755334613461,10995.375905401628,18692.984547684377,34170.27335381913
2020-09-15,15289.396212280766,10978.882841543526,18921.038959166126,34320.62255657594
2020-09-16,15203.775593491993,11022.7983729097,18631.547063090886,34365.23936589949
2020-09-17,15057.81934779447,11041.537130143646,18426.600045396885,34296.50888716769
2020-09-18,14866.585042077479,10923.392682851108,18168.627644761327,34327.37574516614
2020-09-21,14671.832778026264,10625.184062609273,18248.569606398276,33682.021081157014
2020-09-22,14751.060675027607,10735.685976860408,18566.094717549608,33766.226133859906
2020-09-23,14513.568598159663,10578.944961598247,18023.96475179716,33303.62883582602
2020-09-24,14581.782370571013,10596.929168032964,18106.874989655425,33037.19980513941
2020-09-25,14705.727520720866,10700.779073879688,18537.818614409225,33615.35080172935
2020-09-28,14929.254579035825,10868.7813053396,18843.692621546976,33850.65825734145
2020-09-29,14814.299318777248,10813.350520682368,18832.386405974048,33850.65825734145
2020-09-30,14975.775181351919,10854.441252660961,18960.44663353467,34283.946683035414
2020-10-01,15086.595917693925,10851.184920285163,19189.86803780044,34191.38002699122
2020-10-02,15071.509321776231,10908.696200362674,18769.60992777261,33763.98777665383
2020-10-05,15198.110000079152,11111.59794968942,19191.926151147494,34587.82907840418
2020-10-06,15064.366632078456,11020.482846501967,18928.996762876774,34131.26973456925
2020-10-07,15321.967301486997,11229.872020585504,19256.468406874545,34807.06887531372
2020-10-08,15435.349859518,11328.694894366656,19375.85851099717,34977.623512802755
2020-10-09,15557.289123408193,11392.13558577511,19664.558802811025,35250.44897620262
2020-10-12,15736.197948327388,11442.26098235252,20191.56897872636,35451.37653536697
2020-10-13,15718.888130584228,11370.1747381637,20130.99427179018,35295.39047861136
2020-10-14,15649.725022809658,11383.818947849497,20016.247604440974,35062.44090145253
2020-10-15,15674.764582846154,11429.354223640896,19934.180989262768,34736.36020106902
2020-10-16,15626.17281263933,11469.35696342364,19908.266553976726,34982.988358496616
2020-10-19,15433.970887043866,11335.165486951582,19585.752635802302,34419.76224592482
2020-10-20,15345.997252987716,11365.77043376635,19669.971372136253,34337.1548165346
2020-10-21,15304.56306040465,11321.443929074661,19671.938369273466,33986.91583740595
2020-10-22,15413.225458133524,11373.522571148404,19695.544695316596,34483.12480863207
2020-10-23,15456.382489416295,11422.42871820434,19774.326874097864,34603.815745462285
2020-10-26,15190.532710598336,11183.69995799387,19364.99830780404,34268.1587327313
2020-10-27,15138.884899382303,11022.654678598758,19496.680296297105,34093.39112319437
2020-10-28,14681.690575420957,10695.281834644375,18703.165408237815,33056.95203304926
2020-10-29,14703.713111284089,10823.625216660108,19051.044284831038,33040.42355703274
2020-10-30,14574.320435904789,10772.754178141806,18624.300892850824,32772.79612622077
2020-11-02,14829.371043533123,11046.382134266609,18670.86164508295,33192.28791663639
2020-11-03,15042.91398656,11299.344285141313,19023.740930175016,33650.34148988598
2020-11-04,15089.547019918336,11202.169924289097,19836.054667893488,34992.99011533243
2020-11-05,15226.861897799596,11509.109380214619,20361.710116592665,35073.4739925977
2020-11-06,15205.544291142676,11537.882153665154,20465.55483818729,35003.3270446125
2020-11-09,15349.996961908533,11740.948879569662,20082.848962713186,35328.857986127405
2020-11-10,15656.996901146704,11922.933587202991,19677.17541366638,35516.10093345388
2020-11-11,15777.555777285534,11869.280386060578,20131.71816572207,35569.375084854066
2020-11-12,15649.75757548952,11719.727453196216,20012.941028544312,35373.74352188737
2020-11-13,15842.24959366804,11956.46594775078,20177.047144978376,35847.751685080664
2020-11-16,16111.567836760396,12192.00832692147,20320.304179707724,35822.65825890111
2020-11-17,16108.345523193044,12198.10433108493,20247.151084660774,35758.17747403509
2020-11-18,15911.823707810088,12109.058169468011,20020.382992512576,35203.925723187545
2020-11-19,15973.879820270547,12152.650778878096,20236.60312883171,35327.1394632187
2020-11-20,15919.568628881629,12096.748585295256,20109.11252912007,35397.793742145135
2020-11-23,15989.614730848707,12289.086887801452,20058.839747797272,35341.1572721577
2020-11-24,16168.698415834215,12490.627912761394,20279.48698502304,35351.75961933935
2020-11-25,16092.705533279794,12395.699140624407,20356.549035566128,35309.33750779614
2020-11-27,16092.705533279794,12411.81354950722,20537.722321982663,35828.38476916074
2020-11-30,16033.162522806659,12279.007144527492,20628.088300199386,35993.19533909887
2020-12-01,16198.304096791568,12350.225385965752,20873.56255097176,36209.15451113346
2020-12-02,16110.833254668894,12324.289912655224,20883.999332247247,36325.02380556909
2020-12-03,16279.997003842916,12350.1709214718,20881.910932314022,36328.65630794965
2020-12-04,16506.288962196333,12519.368263095963,21042.701646492842,36790.03024306061
2020-12-07,16436.962548555108,12476.802411001438,21118.455372420216,36668.62314325851
2020-12-08,16530.653235081874,12564.140027878446,21200.817348372657,37159.98269337818
2020-12-09,16524.040973787844,12520.165537780871,20791.641573549066,36992.76277125798
2020-12-10,16492.645295937647,12452.556643876855,20895.59978141681,37188.82441394565
2020-12-11,16469.555592523335,12447.575621219305,20891.42066146053,37066.10129337963
2020-12-14,16449.792125812306,12339.281713314696,20914.401224188136,36984.5558705342
2020-12-15,16553.425816204923,12536.710220727731,21230.208682673376,37343.30606247838
2020-12-16,16593.154038163815,12485.309708822748,21340.60576782328,37208.87016065346
2020-12-17,16727.558585872943,12546.487726395979,21479.31970531413,37718.631681854415
2020-12-18,16766.03197062045,12545.23307762334,21462.13624954988,37775.2096293772
2020-12-21,16600.04825411131,12522.651658083618,21481.45217217447,37590.11110219325
2020-12-22,16535.308065920275,12467.55199078805,21670.488951289604,37590.11110219325
2020-12-23,16651.055222381714,12498.720870765019,21533.96487089648,37642.73725773633
2020-12-24,16701.008388048856,12542.466393812698,21620.10073038007,37616.387341655914
2020-12-28,16759.46191740703,12518.635707664453,21799.547566442223,37405.73557254264
2020-12-29,16695.775962120882,12446.027620559998,21666.570326286925,37390.77327831362
2020-12-30,16734.17624683376,12550.574252572702,21621.070528601722,37499.20652082073
2020-12-31,16822.867380941978,12593.24620503145,21672.961097870364,37679.20271212066
2021-01-04,16541.925495680247,12382.938993407424,21311.022647535927,37377.769090423695
2021-01-05,16598.16804236556,12595.925544094032,21498.55964683424,37654.36458169283
2021-01-06,16642.983096079945,12930.977163566933,21197.57981177856,37966.89580772088
2021-01-07,16684.590553820144,13038.304274024538,21788.99228852718,38547.789313579015
2021-01-08,16774.687342810776,12974.416583081818,21967.662025293102,38671.14223938247
2021-01-11,16575.068563431327,13008.15006619783,21739.198340230054,38941.840235058145
2021-01-12,16550.20596058618,13138.231566859808,21680.502504711432,38754.91940192987
2021-01-13,16561.791104758588,13022.61512907144,21743.375961975093,38909.93907953759
2021-01-14,16523.698985217645,13073.403328074819,21612.915706203243,39174.52666527844
2021-01-15,16439.428120393033,12907.371105808268,21459.4640046892,39245.04081327594
2021-01-19,16413.125035400404,12996.431966438344,21798.52353596329,39708.1322948726
2021-01-20,16490.266723066787,13018.52590078129,22291.17016787606,39898.73132988799
2021-01-21,16429.25273619144,12940.414745376602,22498.47805043731,39627.41995684475
2021-01-22,16394.75130544544,12895.123293767785,22511.977137267568,39722.52576474118
2021-01-25,16525.909315889003,12849.990362239598,22638.04420923627,40167.41805330628
2021-01-26,16639.938090168635,12727.915453798321,22610.878556185184,39954.53073762376
2021-01-27,16401.986975479223,12396.989651999565,22079.522910114832,38811.831158527726
2021-01-28,16447.912539010566,12558.150517475558,22242.911379649682,39227.11775192397
2021-01-29,16122.243870738155,12299.452616815563,21798.053152056687,38972.14148653647
2021-02-01,16180.283948672813,12467.955117665937,22345.18428617331,39198.17990715838
2021-02-02,16358.267072108212,12664.94880852506,22671.423976751437,39370.65189874988
2021-02-03,16359.902898815422,12672.547777810174,22730.36967909099,39280.09939938276
2021-02-04,16613.48139374706,12756.18659314372,22959.946412849808,39716.10850271591
2021-02-05,16739.74385233954,12854.409229910927,23093.114102044336,40133.127641994426
2021-02-08,16843.530264224046,13026.658313591735,23277.85901486069,40470.24591418718
2021-02-09,16863.742500541117,12990.183670313678,23294.15351617109,40377.16434858455
2021-02-10,16862.056126291063,12975.894468276332,23301.14176222594,40320.63631849653
